app_id,name
322500,SUPERHOT
1289310,Helltaker
212680,FTL: Faster Than Light
633230,NARUTO TO BORUTO: SHINOBI STRIKER
567670,Serious Sam 3 VR: BFE
564230,Fire Pro Wrestling World
1118200,People Playground
245470,Democracy 3
102500,Kingdoms of Amalur: Reckoning™
684630,American Truck Simulator - New Mexico
383870,Firewatch
347990,Assetto Corsa - Dream Pack 1
760730,Conan Exiles - The Imperial East Pack
1022310,Warhammer Underworlds: Online
204340,Serious Sam 2
1167450,DAEMON X MACHINA
22370,Fallout 3: Game of the Year Edition
813820,Realm Royale
427290,Vampyr
953580,Tourist Bus Simulator
404010,Total War: WARHAMMER - Chaos Warriors
748490,The Legend of Heroes: Trails of Cold Steel II
834530,Yakuza Kiwami
544610,Battlestar Galactica Deadlock
227940,Heroes & Generals
601670,Arma 3 Jets
361280,Turmoil
675590,Assetto Corsa - Ferrari 70th Anniversary Pack
589360,Ni no Kuni™ II: Revenant Kingdom
1251000,Dead by Daylight - Chains of Hate Chapter
1298590,Helltaker: Artbook + Pancake Recipe
952890,Surviving Mars: Green Planet
311290,SpellForce 3
21130,LEGO® Harry Potter: Years 1-4
1100260,Circle Empires Rivals
477740,Zero Escape: The Nonary Games
551170,Onmyoji
420610,Cities: Skylines - Snowfall
420290,Blackwake
355950,Age of Empires II (2013): The African Kingdoms
784150,Workers & Resources: Soviet Republic
1089830,Monster Energy Supercross - The Official Videogame 3
245170,Skullgirls
47810,Dragon Age: Origins - Ultimate Edition
692850,Bloodstained: Ritual of the Night
423630,Assetto Corsa - Dream Pack 3
483840,Grim Dawn - Crucible Mode DLC
919640,Steel Division 2
590380,Into the Breach
498870,Stellaris: Plantoids Species Pack
435881,Fallout 4 Far Harbor
858260,Until You Fall
571710,Arma 3 Laws of War
552450,Serious Sam VR: The First Encounter
327030,Worms W.M.D
554620,Life is Strange: Before the Storm
552100,Brick Rigs
65980,Sid Meier's Civilization®: Beyond Earth™
956680,M.A.S.S. Builder
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition
710920,Darksiders Genesis
292120,FINAL FANTASY® XIII
234140,Mad Max
493190,Assetto Corsa - Red Pack
1007040,EARTH DEFENSE FORCE 5
598810,Carcassonne - Tiles & Tactics
394690,Tower Unite
1223060,Northgard - Himminbrjotir, Clan of the Ox
404430,Assetto Corsa - Dream Pack 2
237310,Elsword
40960,The Stronghold Collection
2280,Ultimate Doom
564530,Pharaoh + Cleopatra
411891,DCS: NEVADA Test and Training Range Map
1189800,Bleeding Edge
683900,RollerCoaster Tycoon® Classic
1204130,Dead Cells: The Bad Seed
544550,Stationeers
239820,Game Dev Tycoon
486570,Expansion - Europa Universalis IV: Rights of Man
204100,Max Payne 3
268650,From the Depths
817540,SpellForce 3: Soul Harvest
386070,Planetary Annihilation: TITANS
627270,Injustice™ 2
708770,ARK: Aberration - Expansion Pack
501080,Fishing: Barents Sea
6020,STAR WARS™ Jedi Knight - Jedi Academy™
607890,Sword Art Online: Hollow Realization Deluxe Edition
371660,Far Cry® Primal
599080,The Blackout Club
663090,Granado Espada
766570,Russian Fishing 4
16450,F.E.A.R. 2: Project Origin
1096580,Two Point Hospital: Close Encounters
41074,Serious Sam 3: Jewel of the Nile
263280,Spintires®
373930,Sudden Strike 4
300380,Road Redemption
585420,Trailmakers
759130,DCS: AV-8B Night Attack V/STOL
1166470,Hunt: Showdown - Llorona’s Heir
65800,Dungeon Defenders
2630,Call of Duty® 2
538020,Expansion - Europa Universalis IV: Mandate of Heaven
1132210,Kingdom Under Fire 2
548570,RAGE 2
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
969990,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated
572410,Steel Division: Normandy 44
553520,Trainz Railroad Simulator 2019
485460,The Banner Saga 3
274190,Broforce
851100,Touhou Luna Nights
385970,Baldur's Gate: Siege of Dragonspear
467980,Assetto corsa - Japanese Pack
285310,RollerCoaster Tycoon®: Deluxe
1180491,Hunt: Showdown - The Researcher
289690,LARA CROFT AND THE TEMPLE OF OSIRIS™
346010,Besiege
1252750,theHunter: Call of the Wild™ - Smoking Barrels Weapon Pack
240760,Wasteland 2: Director's Cut
655500,MX Bikes
790820,Valkyria Chronicles 4 Complete Edition
577940,Killer Instinct
1148590,DOOM 64
291480,Warface
809230,Unity of Command II
1180490,Hunt: Showdown - The Rat
9450,Warhammer® 40,000: Dawn of War® - Soulstorm
222880,Insurgency
1076080,American Truck Simulator - Forest Machinery
1239450,Warhammer 40,000: Gladius - T'au
1003310,Two Point Hospital: Pebberley Island
1036760,Northgard - Svardilfari, Clan of the Horse
55150,Warhammer 40,000: Space Marine
1282550,Project Hospital - Hospital Services
